platform,captured_at,posted_at,username,post_id,content,source_url,keyword,detection_cycle
Twitter,2025-09-07T20:03:24.100314,2025-09-04T02:00:04.000Z,COP_Alaska,1963421776140226996,"ConocoPhillips Alaska was honored to receive the 
@AOGA
 Project of the Year Award for Environmental Stewardship and Innovation. The use of horizontal directional drilling on the Willow project minimized environmental impact and increased efficiency.",https://twitter.com/COP_Alaska/status/1963421776140226996,ConcoPhillips Willow Project,1
Twitter,2025-09-07T20:03:24.190196,2025-09-02T22:30:07.000Z,COP_Alaska,1963006552916558313,"We were proud to join the Tiŋmiaqsiuġvik River boat ramp ribbon cutting. The new ramp, located near Nuiqsut and the Willow project, will be used by local residents for subsistence and recreational activities and is a testament to our collaboration with the community.",https://twitter.com/COP_Alaska/status/1963006552916558313,ConcoPhillips Willow Project,1
Twitter,2025-09-07T20:03:26.328392,2025-03-04T21:10:58.000Z,Theorriginal,1897032041323282751,"That's why Trump will approve the concophillips willow project in alaska...Massive endless oil exploration with potential of billions of barrels untapped

The possiblities of US thriving is just endless. Furthermore, most countries even in Europe will still crawl back to trump",https://twitter.com/Theorriginal/status/1897032041323282751,ConcoPhillips Willow Project,1
Twitter,2025-09-07T20:03:42.421572,2024-12-24T22:09:38.000Z,paulpowlesland,1871679655511552103,"Why willow? The Roding where I live suffers from highly unnatural & artificial channel & banks. This, more than almost any other human mistreatment, is incredibly damaging to the river’s ecology. In the centre of Barking where the river is completely metal sheet piled in places,",https://twitter.com/paulpowlesland/status/1871679655511552103,ConcoPhillips Willow Project,1
Twitter,2025-09-07T20:04:13.704366,2023-11-13T14:08:00.000Z,Earthjustice,1724066585583972847,"Earlier this year, over 5 million people signed petitions to stop ConocoPhillips’ Willow oil project in Alaska. They can see the facts. That Willow would be catastrophic for the climate. We will not drop our challenge in court. And we intend to appeal.",https://twitter.com/Earthjustice/status/1724066585583972847,ConcoPhillips Willow Project,1
Twitter,2025-09-07T20:03:26.359011,2023-09-21T19:05:11.000Z,ClimateDefiance,1704934817463140385,"So we found the person who approved the Willow project. His name is Tommy Beaudreau and he is a climate criminal. We profoundly disrupted him five times in a single day.

We will do this to anyone who stands between us and the world we seek to build. 

Respect us or expect us.",https://twitter.com/ClimateDefiance/status/1704934817463140385,ConcoPhillips Willow Project,1
Twitter,2025-09-07T20:03:26.219370,2023-09-14T16:34:16.000Z,DavidLance3,1702360124226932746,…Haven’t they subtly mentioned ConcoPhillips willow project still happening despite protections in the petroleum reserve though????? How about you keep putting everyone down over that everytime #ArcticRefuge comes into conversation,https://twitter.com/DavidLance3/status/1702360124226932746,ConcoPhillips Willow Project,1
Twitter,2025-09-07T20:04:15.756893,2023-04-19T05:20:05.000Z,ClimateDefiance,1648557057107263492,"We did the math ourselves and learned the Willow Project will drive 64,862 early deaths.

Our numbers are based on peer-reviewed work published by a former White House Staff Economist in a subsidiary of the journal Nature. 

(1/9)",https://twitter.com/ClimateDefiance/status/1648557057107263492,ConcoPhillips Willow Project,1
Twitter,2025-09-07T20:03:28.228057,2023-04-07T15:34:30.000Z,SophiaKianni,1644363022645751808,"Biden’s decision to greenlight the Willow Project is a betrayal of our generation's future and of the millions of people suffering the impact of the climate crisis

 
@GretaThunberg
 
@vanessa_vash",https://twitter.com/SophiaKianni/status/1644363022645751808,ConcoPhillips Willow Project,1
Twitter,2025-09-07T20:04:00.736306,2023-04-07T15:23:27.000Z,SDonziger,1644360243193708544,"A Harvard Law professor who founded the school's environment program is paid $350,000 annually by  
@conocophillips
 – the notorious polluter developing the planet-destroying Willow oil project in Alaska. 

Unethical and corrupt. 
@JodyFreemanHLS
 

https://
theguardian.com/environment/20
23/apr/06/harvard-professor-jody-freeman-sec-conocophillips-emails
…",https://twitter.com/SDonziger/status/1644360243193708544,ConcoPhillips Willow Project,1
Twitter,2025-09-07T20:04:13.223174,2023-04-04T20:15:42.000Z,EliseJoshi,1643346627703484416,"UPDATE: We've sent 30,000 emails to members of Congress in just 2 days! And now, NINETEEN members have signed onto a letter urging the Interior Dept to pause Willow construction while lawsuits play out. 

Keep going, your efforts are working! #StopWillow",https://twitter.com/EliseJoshi/status/1643346627703484416,ConcoPhillips Willow Project,1
Twitter,2025-09-07T20:04:06.031683,2023-03-23T19:17:00.000Z,Earthjustice,1638983199245082624,"The Willow Project has been approved. Which means 260 million metric tons of greenhouse gas emissions, right as top scientists are saying we must cut global emissions in 1/2 by 2030 to avoid the worst of the climate crisis. We're going to court to stop it.",https://twitter.com/Earthjustice/status/1638983199245082624,ConcoPhillips Willow Project,1
Twitter,2025-09-07T20:04:05.992696,2023-03-22T13:29:00.000Z,Earthjustice,1638533234312220673,"Last week, 
@POTUS
 lit the fuse on a carbon bomb called the Willow oil project despite over 5 million people urging him not to. It will produce an estimated 260 million metric tons of heat-trapping gases over 30 years. 

So what now? We're suing. 
https://
ejus.tc/3Z0FBfN",https://twitter.com/Earthjustice/status/1638533234312220673,ConcoPhillips Willow Project,1
Twitter,2025-09-07T20:03:49.425618,2023-03-22T03:48:21.000Z,SimonMoyaSmith,1638387108166631425,The Willow Project is 80 miles east of Point Barrow in Alaska. It's rural. No motels. This means more man camps will be built. Man camps are notorious for sex trafficking & sexual assault on Indigenous women. This isn't just about protecting land but Native women as well. #MMIWG,https://twitter.com/SimonMoyaSmith/status/1638387108166631425,ConcoPhillips Willow Project,1
Twitter,2025-09-07T20:03:57.124251,2023-03-19T17:29:56.000Z,chiproytx,1637506703733190660,"The Willow Project is a sideshow over 150,000 bpd - we should 4x oil production in Alaska, stick it to Russia #EnergyFreedom #AmericanEnergy",https://twitter.com/chiproytx/status/1637506703733190660,ConcoPhillips Willow Project,1
Twitter,2025-09-07T20:03:53.433089,2023-03-15T00:37:06.000Z,MaxwellFrostFL,1635802264089645061,The Willow Project will generate up to 9.2 metric tons of carbon per year. Planet warming carbon at a time where we need to drastically reduce emissions to avoid the worst effects of the climate crisis.,https://twitter.com/MaxwellFrostFL/status/1635802264089645061,ConcoPhillips Willow Project,1
Twitter,2025-09-07T20:03:47.461566,2023-03-15T00:34:28.000Z,MaxwellFrostFL,1635801602538741760,I’m very disappointed in the President for approving the Willow Project. Youth voter turnout was at its highest in 2020 & young folks supported him because of commitments such as “no more drilling on federal land”. That commitment has been broken. We deserve a livable future.,https://twitter.com/MaxwellFrostFL/status/1635801602538741760,ConcoPhillips Willow Project,1
Twitter,2025-09-07T20:04:19.215763,2023-03-13T21:15:43.000Z,patagonia,1635389196880986114,"We’d like to thank our community for sending more than 16,000 emails urging the Department of the Interior to stop the Willow Project. Today’s decision is a blow to the community of Nuiqsut, Arctic wildlife, and the global climate.",https://twitter.com/patagonia/status/1635389196880986114,ConcoPhillips Willow Project,1
Twitter,2025-09-07T20:03:49.373582,2023-03-13T19:49:54.000Z,RepAOC,1635367601726685186,The Willow project has been estimated to produce 287 million tons of carbon dioxide — the equivalent of the annual emissions from 76 coal plants — and cause nearly $20 billion in climate change-related damages. The only acceptable Willow project is no Willow project. #StopWillow,https://twitter.com/RepAOC/status/1635367601726685186,ConcoPhillips Willow Project,1
Twitter,2025-09-07T20:03:38.740552,2023-03-13T19:24:54.000Z,lizziemccrorey,1635361310904049665,the willow project just got approved... like wtf is even the point in living anymore dawg,https://twitter.com/lizziemccrorey/status/1635361310904049665,ConcoPhillips Willow Project,1
Twitter,2025-09-07T20:03:38.720896,2023-03-13T18:56:46.000Z,AstralRosey,1635354230621089792,Guys the willow project just got approved…,https://twitter.com/AstralRosey/status/1635354230621089792,ConcoPhillips Willow Project,1
Twitter,2025-09-07T20:03:45.026999,2023-03-13T15:06:30.000Z,CarolineLucas,1635296281408196616,"Outrageous decision. Approving Willow will mean polluting water and air, destroying animal habitats, and spewing out as much carbon as running 76 coal plants for a year. This oil project is a climate crime scene - it must be stopped.

#StopWillow",https://twitter.com/CarolineLucas/status/1635296281408196616,ConcoPhillips Willow Project,1
Twitter,2025-09-07T20:04:02.443862,2023-03-13T14:41:10.000Z,SenatorHeinrich,1635289907949338624,It’s disappointing to see Secretary Haaland and President Biden approve the “Willow Project” for ConocoPhillips.,https://twitter.com/SenatorHeinrich/status/1635289907949338624,ConcoPhillips Willow Project,1
Twitter,2025-09-07T20:03:57.264809,2023-03-13T14:37:21.000Z,EvergreenAction,1635288944245080066,"BREAKING: 
@POTUS
 just approved the Willow Project—the largest oil and gas project proposed on US public lands. This project is a climate and environmental justice disaster—and completely out of step with Biden’s commitments.",https://twitter.com/EvergreenAction/status/1635288944245080066,ConcoPhillips Willow Project,1
Twitter,2025-09-07T20:04:19.160025,2023-03-13T14:08:58.000Z,sunrisemvmt,1635281801689329667,"TODAY President Biden is set to approve the Willow Project, the single largest oil extraction project ever proposed on federal lands.

If he does, he will be abandoning millions of young people in favor of the fossil fuel industry.


@POTUS
, it's not too late to stand with us.",https://twitter.com/sunrisemvmt/status/1635281801689329667,ConcoPhillips Willow Project,1
Twitter,2025-09-07T20:04:07.646315,2023-03-13T14:08:45.000Z,SierraClub,1635281749109530624,"BREAKING: 
@POTUS
 approved the Willow project, letting ConocoPhillips build one of the largest oil & gas operations on US public lands. It's the wrong move and will be a disaster for wildlife, lands, communities, and our climate. Our statement:",https://twitter.com/SierraClub/status/1635281749109530624,ConcoPhillips Willow Project,1
Twitter,2025-09-07T20:04:15.802380,2023-03-13T02:46:34.000Z,LenaMDC,1635110069108097024,"It appears 
@POTUS
 is about to approve Willow - the largest oil & gas proposal on public lands. Alienating millions of young people and undermining his climate and environmental justice commitments.  What a mistake. 
https://
washingtonpost.com/climate-enviro
nment/2023/03/12/willow-alaska-biden-climate-change/
…",https://twitter.com/LenaMDC/status/1635110069108097024,ConcoPhillips Willow Project,1
Twitter,2025-09-07T20:04:07.662712,2023-03-12T17:31:00.000Z,Earthjustice,1634970257143001088,"The proposed Willow Project is the largest oil project proposed on public lands in the country. It could turn into a destructive climate bomb. And people are taking notice. Before the final decision is released, are you taking notice, 
@POTUS
?
https://
ejus.tc/422f2JI",https://twitter.com/Earthjustice/status/1634970257143001088,ConcoPhillips Willow Project,1
Twitter,2025-09-07T20:04:00.802066,2023-03-11T21:49:09.000Z,ExtinctionR,1634672837175697416,"The Willow project is a carbon bomb, a $6 billion proposal from 
@ConocoPhillips
 to drill oil in Alaska, in a 23 million-acre region described as critical to local wildlife.

https://
npr.org/2023/03/10/116
2603265/willow-project-biden-oil-tiktok?utm_campaign=storyshare&utm_source=twitter.com&utm_medium=social
…",https://twitter.com/ExtinctionR/status/1634672837175697416,ConcoPhillips Willow Project,1
Twitter,2025-09-07T20:04:10.959622,2023-03-11T14:35:56.000Z,nickwestes,1634563815294615555,"The Willow Project, an $8bn oil project, is an existential threat to Alaskan Native communities. Biden is expected to approve it to fill the gap left by a US-led Western boycott of Russian oil and gas. US carbon imperialism starts at home.",https://twitter.com/nickwestes/status/1634563815294615555,ConcoPhillips Willow Project,1
Twitter,2025-09-07T20:03:59.002102,2023-03-10T23:33:19.000Z,SierraClub,1634336662850539523,"This MUST not be the case 
@POTUS
. The Willow project is a climate disaster waiting to happen that would devastate wildlife, lands, AK communities, and our climate. We need to speed our transition to clean energy, not double-down on oil and gas. #StopWillow",https://twitter.com/SierraClub/status/1634336662850539523,ConcoPhillips Willow Project,1
Twitter,2025-09-07T20:04:07.692004,2023-03-10T21:46:00.000Z,Defenders,1634309657022824449,"Millions of content creators on TikTok are asking the White House to #StopWillow. We join them asking the White House to, say no to ConocoPhillips.",https://twitter.com/Defenders/status/1634309657022824449,ConcoPhillips Willow Project,1
Twitter,2025-09-07T20:04:04.182093,2023-03-06T13:04:00.000Z,Earthjustice,1632728737371529216,"The carbon emissions from the Willow project would result in $19.8 billion or more in climate change-related damages. How much federal revenue would the project purportedly bring in? $3.9 billion. 


@POTUS
, It's just not worth it. #StopWillow",https://twitter.com/Earthjustice/status/1632728737371529216,ConcoPhillips Willow Project,1
Twitter,2025-09-07T20:04:02.464840,2023-03-05T21:36:00.000Z,Earthjustice,1632495198390419457,The Willow Project could be decided on as early as tomorrow. It's a carbon bomb that could derail President Biden's historic climate agenda while imperiling wildlife in the area known as America's bird basket. And we can't afford it.,https://twitter.com/Earthjustice/status/1632495198390419457,ConcoPhillips Willow Project,1
Twitter,2025-09-07T20:04:17.450150,2023-03-04T16:36:00.000Z,Earthjustice,1632057313216307202,"going to scream about the Willow oil project from the rooftops until 
@POTUS
 hears us loud and clear. 

This would be the largest single oil drilling project proposed in the U.S. & would emit over 280 million tons of greenhouse gases in the next 30 years. Say no & #StopWillow.",https://twitter.com/Earthjustice/status/1632057313216307202,ConcoPhillips Willow Project,1
Twitter,2025-09-07T20:04:11.011830,2023-03-03T20:52:12.000Z,NRDems,1631759402368630785,"ConocoPhillips' proposed Willow project for oil & gas development would be a disaster for the people of Nuiqsut & our nation's ambitious climate goals.

RM 
@RepRaulGrijalva
 and 
@SenMarkey
 just led a bicameral letter to 
@POTUS
 urging him to make the right decision and #StopWillow.",https://twitter.com/NRDems/status/1631759402368630785,ConcoPhillips Willow Project,1
Twitter,2025-09-07T20:03:40.432999,2023-03-03T19:19:02.000Z,genzforchange,1631735953088827393,"The Willow Project is the biggest proposed oil extraction project on federal land, emitting more pollution annually than 99.7% of all single-point sources in the country.

Today is the last day to tell President Biden to halt the project's development",https://twitter.com/genzforchange/status/1631735953088827393,ConcoPhillips Willow Project,1
