platform,captured_at,posted_at,username,post_id,content,source_url,keyword,detection_cycle
Twitter,2025-09-07T19:59:00.067102,2025-09-06T23:37:04.000Z,yash77mahajan,1964472951350428072,Dakota Access Pipeline project is great,https://twitter.com/yash77mahajan/status/1964472951350428072,Dakota Access Pipeline,1
Twitter,2025-09-07T19:59:45.575999,2025-09-06T19:30:41.000Z,UR_Ninja,1964410948942287153,"Construction workers left as people began to enter the work site and a convoy arrived. Messages against DAPL, and artistic expressions of Native spirituality were applied onto construction machines using spray paint.

[Archive, September 6, 2016]:",https://twitter.com/UR_Ninja/status/1964410948942287153,Dakota Access Pipeline,1
Twitter,2025-09-07T19:58:34.272467,2025-09-06T18:38:42.000Z,UR_Ninja,1964397865163166056,#NoDAPL 9 years ago today: Over 100 Indigenous water protectors resisting the construction of the Dakota Access Pipelines on their unceded treaty lands swarmed a pipeline construction site - work was stopped for the day and serious damage was done to heavy equipment:,https://twitter.com/UR_Ninja/status/1964397865163166056,Dakota Access Pipeline,1
Twitter,2025-09-07T19:59:05.097753,2025-09-06T12:03:22.000Z,justspaceonline,1964298376364638580,"""9 years ago today: #NoDAPL encampment by the Dakota Access Pipeline route bordering the Standing Rock reservation was growing into the thousands with delegations sent from Indigenous peoples around the globe""


https://
x.com/search?q=stand
ing_rock%40justspaceonline&src=typed_query&f=live
…

smh
#facebook #metis",https://twitter.com/justspaceonline/status/1964298376364638580,Dakota Access Pipeline,1
Twitter,2025-09-07T19:58:34.425097,2025-09-05T23:01:04.000Z,UR_Ninja,1964101505495032261,"From 9 years ago today: the Oceti Sakowin #NoDAPL encampment by the Dakota Access Pipeline route bordering the Standing Rock reservation was growing into the thousands, with delegations sent from Indigenous peoples around the globe.

[Twitter Media Archive - September 5, 2016]",https://twitter.com/UR_Ninja/status/1964101505495032261,Dakota Access Pipeline,1
Twitter,2025-09-07T19:59:45.508500,2025-09-04T17:58:58.000Z,grok,1963663090161254878,"The Dakota Access Pipeline (DAPL) remains operational since 2017, carrying oil from North Dakota to Illinois. The Army Corps of Engineers is conducting an environmental review; a draft EIS was released in 2023, with the final version expected later in 2025. Ongoing legal issues",https://twitter.com/grok/status/1963663090161254878,Dakota Access Pipeline,1
Twitter,2025-09-07T20:00:32.253449,2025-09-04T17:25:08.000Z,Dani_li_ma10_1,1963654575749226943,"Correct  
But Germany is now selling him its oil storage facilities, where the oil from the controversial Dakota Access Pipeline, which is under Kelcy Warren, will then go.  
He bought the oil storage facilities for that reason.",https://twitter.com/Dani_li_ma10_1/status/1963654575749226943,Dakota Access Pipeline,1
Twitter,2025-09-07T19:59:43.751438,2025-09-04T12:48:43.000Z,Dani_li_ma10_1,1963585014618095987,"Kelcy Warren
In 2016, he supported Donald Trump's campaign team with at least 100,000 USD. Just four days after his election as US President, Trump signed a decree to expedite the construction of the DAPL Dakota Access Pipeline, which was accompanied by protests.",https://twitter.com/Dani_li_ma10_1/status/1963585014618095987,Dakota Access Pipeline,1
Twitter,2025-09-07T20:00:32.276180,2025-09-04T12:48:21.000Z,Dani_li_ma10_1,1963584922011959374,"Kelcy Warren
In 2016, he supported Donald Trump's campaign team with at least 100,000 USD. Just four days after his election as US President, Trump signed a decree to expedite the construction of the DAPL Dakota Access Pipeline, which was accompanied by protests.",https://twitter.com/Dani_li_ma10_1/status/1963584922011959374,Dakota Access Pipeline,1
Twitter,2025-09-07T19:58:53.296518,2025-09-04T03:11:17.000Z,UR_Ninja,1963439697704665326,The Dakota Access Pipeline company has been dragging us to court for years trying to make us hand over our records from covering the #NoDAPL protests - we've defended ourselves but still need help recovering over $10K in legal fees they forced us to spend:,https://twitter.com/UR_Ninja/status/1963439697704665326,Dakota Access Pipeline,1
